username, time_to_deliver

SERVER,NaN

antonio 1,863
antonio 1,863
SERVER,NaN
SERVER,NaN
SERVER,NaN

antonio 4,1198

antonio 4,1640

antonio 4,1641
antonio 4,1641

antonio 4,1642

antonio 4,1642

antonio 4,1643

antonio 4,1643

antonio 4,1643

antonio 4,1643

antonio 4,1643

antonio 4,1662

antonio 4,1662

antonio 4,1663

antonio 4,1663

antonio 4,1663

antonio 4,1664

antonio 4,1664

antonio 4,1665

antonio 4,1665

antonio 4,1665

antonio 4,1665

antonio 4,1666

antonio 4,1666

antonio 4,1666

antonio 4,1666

antonio 4,1666

antonio 4,1666

antonio 4,1666

antonio 4,1666

antonio 4,1667

antonio 4,1667

antonio 4,1667

antonio 4,1667

antonio 4,1668

antonio 4,1668

antonio 4,1668

antonio 4,1668

antonio 4,1668

antonio 4,1669

antonio 4,1669

antonio 4,1669

antonio 4,1669

antonio 4,1670

antonio 4,1669

antonio 4,1669

antonio 4,1669

antonio 4,1669

antonio 4,1669

antonio 4,1670

antonio 4,1669

antonio 4,1669

antonio 4,1669

antonio 4,1669

antonio 4,1669

antonio 4,1670

antonio 4,1670

antonio 4,1670

antonio 4,1670

antonio 4,1670

antonio 4,1670

antonio 4,1670

antonio 4,1671

antonio 4,1671

antonio 4,1671

antonio 4,1671

antonio 4,1671

antonio 4,1671

antonio 4,1671

antonio 4,1672

antonio 4,1672

antonio 4,1672

antonio 4,1672

antonio 4,1672

antonio 4,1672

antonio 4,1672

antonio 4,1672

antonio 4,1673

antonio 4,1673

antonio 4,1673

antonio 4,1673

antonio 4,1673

antonio 4,1673

antonio 4,1672

antonio 4,1672

antonio 4,1673

antonio 4,1673

antonio 4,1673

antonio 4,1673

antonio 4,1673

antonio 4,1673

antonio 4,1673

antonio 4,1674

antonio 4,1674

antonio 4,1674

antonio 4,1674

antonio 4,1674

antonio 4,1675

antonio 4,1675

antonio 4,1675

antonio 4,1675

antonio 4,1676

antonio 4,1676

antonio 4,1676

antonio 4,1676

antonio 4,1677

antonio 4,1677

antonio 4,1677

antonio 4,1678

antonio 4,1678

antonio 4,1678

antonio 4,1678

antonio 4,1678

antonio 4,1678

antonio 4,1678

antonio 4,1678

antonio 4,1679

antonio 4,1678

antonio 4,1678

antonio 4,1678

antonio 4,1678

antonio 4,1678

antonio 4,1678

antonio 4,1678

antonio 4,1679

antonio 4,1679

antonio 4,1679

antonio 4,1679

antonio 4,1679

antonio 4,1679

antonio 4,1678

antonio 4,1678

antonio 4,1678
antonio 4,1678
antonio 4,1678
antonio 4,1678
antonio 4,1678
antonio 4,1678
antonio 4,1678
antonio 4,1678
antonio 4,1678
antonio 4,1679
antonio 4,1679
antonio 4,1679
antonio 4,1679
antonio 4,1679
antonio 4,1679
antonio 4,1679
antonio 4,1679
antonio 4,1678
antonio 4,1678
antonio 4,1679
antonio 4,1679
antonio 4,1679
antonio 4,1679
antonio 4,1679
antonio 4,1679
antonio 4,1679
antonio 4,1680
antonio 4,1680
antonio 4,1680
antonio 4,1680

antonio 4,1680

antonio 4,1680

antonio 4,1680

antonio 4,1680

antonio 4,1680

antonio 4,1680

antonio 4,1681

antonio 4,1681

antonio 4,1681

antonio 4,1681

antonio 4,1681

antonio 4,1681

antonio 4,1681

antonio 4,1681

antonio 4,1681

antonio 4,1681

antonio 4,1682

antonio 4,1682

antonio 4,1682

antonio 4,1682

antonio 4,1682

antonio 4,1682

antonio 4,1682

antonio 4,1682

antonio 4,1682

antonio 4,1682

antonio 4,1682

antonio 4,1683

antonio 4,1683

antonio 4,1683

antonio 4,1683

antonio 4,1683

antonio 4,1682

antonio 4,1682

antonio 4,1682

antonio 4,1682

antonio 4,1682

antonio 4,1683

antonio 4,1683

antonio 4,1683

antonio 4,1683

antonio 4,1683

antonio 4,1683

antonio 4,1683

antonio 4,1683

antonio 4,1683

antonio 4,1683

antonio 4,1684

antonio 4,1684

antonio 4,1684

antonio 4,1684

antonio 4,1684

antonio 4,1684

antonio 4,1684

antonio 4,1684

antonio 4,1684

antonio 4,1684

antonio 4,1684

antonio 4,1685

antonio 4,1685

antonio 4,1685

antonio 4,1685

antonio 4,1685

antonio 4,1685

antonio 4,1685

antonio 4,1685

antonio 4,1686

antonio 4,1686

antonio 4,1686

antonio 4,1686

antonio 4,1686

antonio 4,1686

antonio 4,1687

antonio 4,1687

antonio 4,1687

antonio 4,1687

antonio 4,1688

antonio 4,1688

antonio 4,1688

antonio 4,1687

antonio 4,1687

antonio 4,1687

antonio 4,1688

antonio 4,1688

antonio 4,1688

antonio 4,1689

antonio 4,1689

antonio 4,1689

antonio 4,1689

antonio 4,1689

antonio 4,1689

antonio 4,1689

antonio 4,1689

antonio 4,1690

antonio 4,1690

antonio 4,1690

antonio 4,1690

antonio 4,1690

antonio 4,1690

antonio 4,1690

antonio 4,1690

antonio 4,1691

antonio 4,1691

antonio 4,1691

antonio 4,1691

antonio 4,1691

antonio 4,1691

antonio 4,1691

antonio 4,1691

antonio 4,1691

antonio 4,1692

antonio 4,1692

antonio 4,1691

antonio 4,1691

antonio 4,1691

antonio 4,1691

antonio 4,1691

antonio 4,1692

antonio 4,1692

antonio 4,1692

antonio 4,1692

antonio 4,1692

antonio 4,1692

antonio 4,1693

antonio 4,1693

antonio 4,1693

antonio 4,1693

antonio 4,1693

antonio 4,1693

antonio 4,1693

antonio 4,1694
antonio 4,1694
antonio 4,1694
antonio 4,1694
antonio 4,1694
antonio 4,1694
antonio 4,1694
antonio 4,1694
antonio 4,1695
antonio 4,1695
antonio 4,1695
antonio 4,1695
antonio 4,1695
antonio 4,1695
antonio 4,1695
antonio 4,1695
antonio 4,1696
antonio 4,1696
antonio 4,1696
antonio 4,1696
antonio 4,1696
antonio 4,1696
antonio 4,1696
antonio 4,1696
antonio 4,1696
antonio 4,1696
antonio 4,1697
antonio 4,1696
antonio 4,1696
antonio 4,1696
antonio 4,1696

antonio 4,1696

antonio 4,1696

antonio 4,1696

antonio 4,1696

antonio 4,1696

antonio 4,1697

antonio 4,1697

antonio 4,1697

antonio 4,1697

antonio 4,1697

antonio 4,1697

antonio 4,1697

antonio 4,1697

antonio 4,1697

antonio 4,1697

antonio 4,1698

antonio 4,1698

antonio 4,1698

antonio 4,1698

antonio 4,1698

antonio 4,1698

antonio 4,1698

